Comparisons
        n             minmax_simple     minmax    gain (%)
       64               1.97            1.50            24
      128               1.98            1.50            24
      256               1.99            1.50            25
      512               2.00            1.50            25
     1024               2.00            1.50            25
     2048               2.00            1.50            25
     4096               2.00            1.50            25
     8192               2.00            1.50            25
    16384               2.00            1.50            25
    32768               2.00            1.50            25
    65536               2.00            1.50            25
   131072               2.00            1.50            25
   262144               2.00            1.50            25
   524288               2.00            1.50            25
  1048576               2.00            1.50            25
  2097152               2.00            1.50            25
  4194304               2.00            1.50            25
  8388608               2.00            1.50            25
 16777216               2.00            1.50            25
 33554432               2.00            1.50            25
 67108864               2.00            1.50            25

Times
        n             minmax_simple     minmax    gain (%)
       64               3.67            1.02            72
      128               4.24            1.13            73
      256               4.31            1.08            75
      512               4.41            1.08            76
     1024               4.43            1.11            75
     2048               4.43            1.10            75
     4096               4.42            1.13            74
     8192               4.42            1.12            75
    16384               4.46            1.35            70
    32768               4.63            1.14            75
    65536               4.61            1.17            75
   131072               4.79            1.17            76
   262144               4.68            1.17            75
   524288               4.65            1.14            75
  1048576               4.92            1.21            75
  2097152               4.82            1.24            74
  4194304               4.88            1.18            76
  8388608               4.79            1.16            76
 16777216               4.98            1.35            73
 33554432               4.70            1.36            71
 67108864               4.70            1.18            75
