fib_sequential
           n        copy      assign    destruct     default       equal        less    construct        plus    multiply
          16          30          30          47           0           0           0           17          15           0
          32          62          62          95           0           0           0           33          31           0
          64         126         126         191           0           0           0           65          63           0
         128         254         254         383           0           0           0          129         127           0
         256         510         510         767           0           0           0          257         255           0
         512        1022        1022        1535           0           0           0          513         511           0
        1024        2046        2046        3071           0           0           0         1025        1023           0
        2048        4094        4094        6143           0           0           0         2049        2047           0
        4096        8190        8190       12287           0           0           0         4097        4095           0
        8192       16382       16382       24575           0           0           0         8193        8191           0
       16384       32766       32766       49151           0           0           0        16385       16383           0
       32768       65534       65534       98303           0           0           0        32769       32767           0
       65536      131070      131070      196607           0           0           0        65537       65535           0
      131072      262142      262142      393215           0           0           0       131073      131071           0
      262144      524286      524286      786431           0           0           0       262145      262143           0
      524288     1048574     1048574     1572863           0           0           0       524289      524287           0
     1048576     2097150     2097150     3145727           0           0           0      1048577     1048575           0
     2097152     4194302     4194302     6291455           0           0           0      2097153     2097151           0
     4194304     8388606     8388606    12582911           0           0           0      4194305     4194303           0
     8388608    16777214    16777214    25165823           0           0           0      8388609     8388607           0
    16777216    33554430    33554430    50331647           0           0           0     16777217    16777215           0
    33554432    67108862    67108862   100663295           0           0           0     33554433    33554431           0
fib
           n        copy      assign    destruct     default       equal        less    construct        plus    multiply
          16          12          20          88           0           0           0           76          24          48
          32          12          28         112           0           0           0          100          32          64
          64          12          36         136           0           0           0          124          40          80
         128          12          44         160           0           0           0          148          48          96
         256          12          52         184           0           0           0          172          56         112
         512          12          60         208           0           0           0          196          64         128
        1024          12          68         232           0           0           0          220          72         144
        2048          12          76         256           0           0           0          244          80         160
        4096          12          84         280           0           0           0          268          88         176
        8192          12          92         304           0           0           0          292          96         192
       16384          12         100         328           0           0           0          316         104         208
       32768          12         108         352           0           0           0          340         112         224
       65536          12         116         376           0           0           0          364         120         240
      131072          12         124         400           0           0           0          388         128         256
      262144          12         132         424           0           0           0          412         136         272
      524288          12         140         448           0           0           0          436         144         288
     1048576          12         148         472           0           0           0          460         152         304
     2097152          12         156         496           0           0           0          484         160         320
     4194304          12         164         520           0           0           0          508         168         336
     8388608          12         172         544           0           0           0          532         176         352
    16777216          12         180         568           0           0           0          556         184         368
    33554432          12         188         592           0           0           0          580         192         384
fib_instrumented_matrix
           n        copy      assign    destruct     default       equal        less    construct        plus    multiply
          16           2           5           9           0           0           0            7           0           6
          32           2           7          11           0           0           0            9           0           8
          64           2           9          13           0           0           0           11           0          10
         128           2          11          15           0           0           0           13           0          12
         256           2          13          17           0           0           0           15           0          14
         512           2          15          19           0           0           0           17           0          16
        1024           2          17          21           0           0           0           19           0          18
        2048           2          19          23           0           0           0           21           0          20
        4096           2          21          25           0           0           0           23           0          22
        8192           2          23          27           0           0           0           25           0          24
       16384           2          25          29           0           0           0           27           0          26
       32768           2          27          31           0           0           0           29           0          28
       65536           2          29          33           0           0           0           31           0          30
      131072           2          31          35           0           0           0           33           0          32
      262144           2          33          37           0           0           0           35           0          34
      524288           2          35          39           0           0           0           37           0          36
     1048576           2          37          41           0           0           0           39           0          38
     2097152           2          39          43           0           0           0           41           0          40
     4194304           2          41          45           0           0           0           43           0          42
     8388608           2          43          47           0           0           0           45           0          44
    16777216           2          45          49           0           0           0           47           0          46
    33554432           2          47          51           0           0           0           49           0          48
